longitude,latitude
,
-73.9802378,40.7456816
-73.9843832,40.7402176
-73.9829426,40.7675105
-73.969024,40.7977678
-73.99827448979592,40.73786804081632
-73.98095084746828,40.7442705
-73.9731135,40.793352
-73.98270633333334,40.76380266666666
-73.9914413,40.7496545
-73.9673247,40.7584759
-73.95641626315789,40.76807478947368
-73.9556375,40.7686775
-73.99216900793594,40.727196649999996
-73.994143,40.745547
-74.0035915,40.7133457
,
-73.9803747,40.7422939
-73.3342736,40.8761325
-73.9792984,40.7530304
-73.99612172222223,40.75890511111111
,
-73.9916316,40.7086772
-73.9937966,40.7473114
-73.9915577,40.7530724
-73.982194500076,40.7563313
-73.9712480857143,40.761724771428575
-73.9583183,40.7689035
-74.0056309,40.7066256
-74.003297,40.7138205
-73.9968491,40.7593452
-73.9881678,40.7282251
-73.9772563,40.6684012
-73.9517171,40.7703352
-74.0060152,40.7127281
-73.66647313019999,40.676625200000004
-73.97780724199592,40.77422235
,
,
-73.977192,40.7387358
-73.96620085141325,40.76689365
,
-73.9655035,40.76573325
-73.99690794438652,40.7529684
-73.9777268,40.7743383
-73.977554,40.754498874999996
-73.9687079,40.7864611
-73.9350707,40.8010992
,
-73.98252421318188,40.76287095
-73.99483891666667,40.71865733333333
,
-73.951816492206,40.7138717
-73.97671925,40.75181525
-74.0018679,40.7261677
-73.9856837,40.7580252
-74.00240413113207,40.73920095
-74.0076808,40.7251271
-74.00096669089544,40.761452750000004
-73.9485489,40.7739755
-74.0027661,40.7233433
-73.9972712,40.7180066
-73.95891729545454,40.7718885
-73.8629643,40.7675757
-73.9912179,40.7496658
-73.98909810336907,40.76883025
-73.9428838846479,40.78955775
-74.01101344444444,40.70351166666667
-74.0060152,40.7127281
-73.9691242,41.8545129
-73.9503923,40.7711369
-73.96302621428572,40.75799814285715
-73.9868596,40.7681168
-73.9968491,40.7593452
-72.0180395,41.2635033
-73.9718188,40.755449
-73.9904648,40.7329392
-73.9912522,40.7395496
,
-73.9621613,40.7760208
,
-73.9922481,40.7442252
-73.9671638,40.7527506
-73.9819521632653,40.75880867346939
-73.94726530302637,40.68795165
,
-73.9957408,40.763084
-73.974177,40.757168
,
-73.95605855555556,40.76755177777778
-73.97671282217306,40.761095749999996
-73.9660207,40.7628449
-73.97351235,40.755752349999995
-73.98865732653061,40.756662
-73.94585345784503,40.77392545
,
-73.9775923,40.7577093
,
-73.59693203012424,44.219583
